Estado,Severidad,ID Regla,Ocurrencias,Páginas,Selectores,Descripción,Solución,Evidencia,WCAG
"Fallido","serio","color-contrast","9","Inicio, Registro, Login, Documentación","Inicio: a[data-testid=""header-logo""] > .text-primary | Inicio: .hover\:bg-primary\/10 | Inicio: .tracking-\[0\.35em\] | Registro: .text-lg > .text-primary | Registro: .hover\:bg-primary\/10 | Login: .text-lg > .text-primary | Login: .hover\:bg-primary\/10 | Documentación: .text-lg > .text-primary | Documentación: .hover\:bg-primary\/10","Contraste insuficiente: #008ecc sobre #f9fafb (ratio ~3.5:1, requiere 4.5:1). 9 elemento(s).","Elements must meet minimum color contrast ratio thresholds","evidencia/001-inicio-color-contrast.png","wcag2aa, wcag143"
"Fallido","serio","color-contrast","14","Inicio, Registro, Login","Inicio: a[data-testid=""path-aula""] > .tracking-\[0\.2em\].uppercase.mb-1 | Inicio: a[data-testid=""path-aula""] > .inline-flex.gap-2.text-primary | Inicio: a[data-testid=""path-laboratorio""] > .inline-flex.gap-2.text-primary | Inicio: a[data-testid=""scenario-registro""] > .inline-block.border-primary\/30.text-\[11px\] | Inicio: a[data-testid=""scenario-login""] > .inline-block.border-primary\/30.text-\[11px\] | Inicio: a[data-testid=""scenario-cursos""] > .inline-block.border-primary\/30.text-\[11px\] | Inicio: a[data-testid=""scenario-mi-progreso""] > .inline-block.border-primary\/30.text-\[11px\] | Inicio: a[data-testid=""scenario-reserva""] > .inline-block.border-primary\/30.text-\[11px\] | Inicio: a[data-testid=""scenario-estudiantes""] > .inline-block.border-primary\/30.text-\[11px\] | Inicio: a[data-testid=""scenario-perfil""] > .inline-block.border-primary\/30.text-\[11px\] | Registro: .mb-2 | Registro: .hover\:underline.text-primary[href$=""login""] | Login: .inline-block | Login: .hover\:underline.text-primary[href$=""registro""]","Contraste insuficiente: #008ecc sobre #ffffff (ratio ~3.65:1, requiere 4.5:1). 14 elemento(s).","Elements must meet minimum color contrast ratio thresholds","evidencia/004-inicio-color-contrast.png","wcag2aa, wcag143"
"Fallido","serio","color-contrast","3","Inicio, Documentación","Inicio: .tracking-\[0\.2em\].uppercase.text-danger | Documentación: tr:nth-child(3) > .text-danger.font-medium | Documentación: tr:nth-child(4) > .text-danger.font-medium","Contraste insuficiente: #de4f44 sobre #ffffff (ratio ~3.95:1, requiere 4.5:1). 3 elemento(s).","Elements must meet minimum color contrast ratio thresholds","evidencia/006-inicio-color-contrast.png","wcag2aa, wcag143"
"Fallido","serio","color-contrast","7","Inicio","Inicio: a[data-testid=""scenario-registro""] > .justify-between.mb-4.flex > .bg-danger\/10.text-danger.py-1 | Inicio: a[data-testid=""scenario-login""] > .justify-between.mb-4.flex > .bg-danger\/10.text-danger.py-1 | Inicio: a[data-testid=""scenario-cursos""] > .justify-between.mb-4.flex > .bg-danger\/10.text-danger.py-1 | Inicio: a[data-testid=""scenario-mi-progreso""] > .justify-between.mb-4.flex > .bg-danger\/10.text-danger.py-1 | Inicio: a[data-testid=""scenario-reserva""] > .justify-between.mb-4.flex > .bg-danger\/10.text-danger.py-1 | Inicio: a[data-testid=""scenario-estudiantes""] > .justify-between.mb-4.flex > .bg-danger\/10.text-danger.py-1 | Inicio: a[data-testid=""scenario-perfil""] > .justify-between.mb-4.flex > .bg-danger\/10.text-danger.py-1","Contraste insuficiente: #de4f44 sobre #fcedec (ratio ~3.47:1, requiere 4.5:1). 7 elemento(s).","Elements must meet minimum color contrast ratio thresholds","evidencia/008-inicio-color-contrast.png","wcag2aa, wcag143"
"Fallido","serio","color-contrast","4","Inicio, Registro, Login, Documentación","Inicio: .text-foreground.font-semibold > .text-primary | Registro: .font-semibold > .text-primary | Login: .font-semibold.text-foreground > .text-primary | Documentación: p:nth-child(1) > .text-primary","Contraste insuficiente: #008ecc sobre #f5f7f9 (ratio ~3.4:1, requiere 4.5:1). 4 elemento(s).","Elements must meet minimum color contrast ratio thresholds","evidencia/022-inicio-color-contrast.png","wcag2aa, wcag143"
"Incompleto","serio","color-contrast","4","Inicio, Registro, Login, Documentación","Inicio: .border-primary\/40 | Registro: .bg-gradient-to-r | Login: .bg-gradient-to-r | Documentación: .bg-gradient-to-r","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","","wcag2aa, wcag143"
"Fallido","serio","color-contrast","3","Registro, Login, Documentación","Registro: .bg-primary\/10 | Login: .bg-primary\/10 | Documentación: a[data-testid=""nav-documentacion""]","Contraste insuficiente: #008ecc sobre #e0eff6 (ratio ~3.1:1, requiere 4.5:1). 3 elemento(s).","Elements must meet minimum color contrast ratio thresholds","evidencia/024-registro-color-contrast.png","wcag2aa, wcag143"
"Fallido","serio","color-contrast","2","Registro, Login","Registro: .hover\:underline.text-primary[href$=""registro""] | Login: .hover\:underline.text-primary[href$=""acceso""]","Contraste insuficiente: #008ecc sobre #f4f0e2 (ratio ~3.2:1, requiere 4.5:1). 2 elemento(s).","Elements must meet minimum color contrast ratio thresholds","evidencia/026-registro-color-contrast.png","wcag2aa, wcag143"
"Fallido","serio","color-contrast","1","Login","Login: .uppercase","Contraste insuficiente: #008ecc sobre #f2f9fc (ratio ~3.43:1, requiere 4.5:1). 1 elemento(s).","Elements must meet minimum color contrast ratio thresholds","evidencia/035-login-color-contrast.png","wcag2aa, wcag143"
"Fallido","serio","color-contrast","36","Documentación","Documentación: div[data-testid=""req-REQ-R01""] > .gap-3.flex > .shrink-0.text-\[11px\].bg-primary\/10 | Documentación: div[data-testid=""req-REQ-R02""] > .gap-3.flex > .shrink-0.text-\[11px\].bg-primary\/10 | Documentación: div[data-testid=""req-REQ-R03""] > .gap-3.flex > .shrink-0.text-\[11px\].bg-primary\/10 | Documentación: div[data-testid=""req-REQ-R04""] > .gap-3.flex > .shrink-0.text-\[11px\].bg-primary\/10 | Documentación: div[data-testid=""req-REQ-R05""] > .gap-3.flex > .shrink-0.text-\[11px\].bg-primary\/10 | Documentación: div[data-testid=""req-REQ-R06""] > .gap-3.flex > .shrink-0.text-\[11px\].bg-primary\/10 | Documentación: div[data-testid=""req-REQ-R07""] > .gap-3.flex > .shrink-0.text-\[11px\].bg-primary\/10 | Documentación: div[data-testid=""req-REQ-L01""] > .gap-3.flex > .shrink-0.text-\[11px\].bg-primary\/10 | Documentación: div[data-testid=""req-REQ-L02""] > .gap-3.flex > .shrink-0.text-\[11px\].bg-primary\/10 | Documentación: div[data-testid=""req-REQ-L03""] > .gap-3.flex > .shrink-0.text-\[11px\].bg-primary\/10 | Documentación: div[data-testid=""req-REQ-L04""] > .gap-3.flex > .shrink-0.text-\[11px\].bg-primary\/10 | Documentación: div[data-testid=""req-REQ-C01""] > .gap-3.flex > .shrink-0.text-\[11px\].bg-primary\/10 | Documentación: div[data-testid=""req-REQ-C02""] > .gap-3.flex > .shrink-0.text-\[11px\].bg-primary\/10 | Documentación: div[data-testid=""req-REQ-C03""] > .gap-3.flex > .shrink-0.text-\[11px\].bg-primary\/10 | Documentación: div[data-testid=""req-REQ-C04""] > .gap-3.flex > .shrink-0.text-\[11px\].bg-primary\/10 | Documentación: div[data-testid=""req-REQ-C05""] > .gap-3.flex > .shrink-0.text-\[11px\].bg-primary\/10 | Documentación: div[data-testid=""req-REQ-C06""] > .gap-3.flex > .shrink-0.text-\[11px\].bg-primary\/10 | Documentación: div[data-testid=""req-REQ-P01""] > .gap-3.flex > .shrink-0.text-\[11px\].bg-primary\/10 | Documentación: div[data-testid=""req-REQ-P02""] > .gap-3.flex > .shrink-0.text-\[11px\].bg-primary\/10 | Documentación: div[data-testid=""req-REQ-P03""] > .gap-3.flex > .shrink-0.text-\[11px\].bg-primary\/10 | Documentación: div[data-testid=""req-REQ-P04""] > .gap-3.flex > .shrink-0.text-\[11px\].bg-primary\/10 | Documentación: div[data-testid=""req-REQ-P05""] > .gap-3.flex > .shrink-0.text-\[11px\].bg-primary\/10 | Documentación: div[data-testid=""req-REQ-S01""] > .gap-3.flex > .shrink-0.text-\[11px\].bg-primary\/10 | Documentación: div[data-testid=""req-REQ-S02""] > .gap-3.flex > .shrink-0.text-\[11px\].bg-primary\/10 | Documentación: div[data-testid=""req-REQ-A01""] > .gap-3.flex > .shrink-0.text-\[11px\].bg-primary\/10 | Documentación: div[data-testid=""req-REQ-A02""] > .gap-3.flex > .shrink-0.text-\[11px\].bg-primary\/10 | Documentación: div[data-testid=""req-REQ-A03""] > .gap-3.flex > .shrink-0.text-\[11px\].bg-primary\/10 | Documentación: div[data-testid=""req-REQ-D01""] > .gap-3.flex > .shrink-0.text-\[11px\].bg-primary\/10 | Documentación: div[data-testid=""req-REQ-D02""] > .gap-3.flex > .shrink-0.text-\[11px\].bg-primary\/10 | Documentación: div[data-testid=""req-REQ-D03""] > .gap-3.flex > .shrink-0.text-\[11px\].bg-primary\/10 | Documentación: div[data-testid=""req-REQ-N01""] > .gap-3.flex > .shrink-0.text-\[11px\].bg-primary\/10 | Documentación: div[data-testid=""req-REQ-N02""] > .gap-3.flex > .shrink-0.text-\[11px\].bg-primary\/10 | Documentación: div[data-testid=""req-REQ-N03""] > .gap-3.flex > .shrink-0.text-\[11px\].bg-primary\/10 | Documentación: div[data-testid=""req-REQ-U01""] > .gap-3.flex > .shrink-0.text-\[11px\].bg-primary\/10 | Documentación: div[data-testid=""req-REQ-U02""] > .gap-3.flex > .shrink-0.text-\[11px\].bg-primary\/10 | Documentación: div[data-testid=""req-REQ-U03""] > .gap-3.flex > .shrink-0.text-\[11px\].bg-primary\/10","Contraste insuficiente: #008ecc sobre #e5f4fa (ratio ~3.24:1, requiere 4.5:1). 36 elemento(s).","Elements must meet minimum color contrast ratio thresholds","evidencia/041-documentaci-n-color-contrast.png","wcag2aa, wcag143"
